score,popularity
1.6,0.000198295
1.7,0.000198295
1.9,0.000594884
2,0.000396589
2.1,0.000594884
2.2,0.000594884
2.3,0.000594884
2.4,0.000396589
2.5,0.000396589
2.6,0.000396589
2.7,0.001189768
2.8,0.001784652
2.9,0.000793179
3,0.000991473
3.1,0.001586357
3.2,0.001388063
3.3,0.003371009
3.4,0.002379536
3.5,0.00297442
3.6,0.002776125
3.7,0.001784652
3.8,0.002776125
3.9,0.002776125
4,0.003569304
4.1,0.005155661
4.2,0.003965893
4.3,0.006147135
4.4,0.004957367
4.5,0.006543724
4.6,0.007535197
4.7,0.006147135
4.8,0.010509617
4.9,0.010113028
5,0.008328376
5.1,0.014078921
5.2,0.013484037
5.3,0.018243109
5.4,0.020622645
5.5,0.019432877
5.6,0.022209003
5.7,0.023200476
5.8,0.024588539
5.9,0.028554432
6,0.025976601
6.1,0.035494745
6.2,0.034701567
6.3,0.034899861
6.4,0.036684513
6.5,0.036882808
6.6,0.039857228
6.7,0.04421971
6.8,0.035891335
6.9,0.034503272
7,0.036486219
7.1,0.035891335
7.2,0.03866746
7.3,0.036486219
7.4,0.029149316
7.5,0.027761253
7.6,0.024588539
7.7,0.022605592
7.8,0.021019235
7.9,0.0148721
8,0.0148721
8.1,0.013682332
8.2,0.008328376
8.3,0.007931787
8.4,0.005750545
8.5,0.004759072
8.6,0.00297442
8.7,0.002577831
8.8,0.001388063
8.9,0.000991473
9,0.000594884
9.1,0.000594884
9.2,0.000198295
9.3,0.000198295
9.5,0.000198295
